Pregunta,A,B,C,D,Correcta,Materia,Tema
"La energía potencial elástica almacenada en un resorte es directamente proporcional a:", "El cuadrado del alargamiento o compresión.", "La raíz cuadrada del alargamiento.", "El alargamiento o compresión.", "La constante del resorte.", A, Física, Trabajo y leyes de la conservación
"Un 'pascal' (Pa) es una unidad de:", "Presión.", "Fuerza.", "Energía.", "Densidad.", A, Física, Fluidos
"Cuando un rayo de luz pasa del aire al agua, su velocidad y longitud de onda:", "Disminuyen.", "Aumentan.", "La velocidad disminuye y la longitud de onda aumenta.", "La velocidad aumenta y la longitud de onda disminuye.", A, Física, Óptica
"La ley de conservación de la energía establece que la energía total de un sistema aislado:", "Permanece constante.", "Siempre aumenta.", "Siempre disminuye.", "Depende de la temperatura.", A, Física, Trabajo y leyes de la conservación
"La primera ley de la termodinámica es una forma del principio de:", "Conservación de la energía.", "Conservación de la cantidad de movimiento.", "Equilibrio térmico.", "Incremento de la entropía.", A, Física, Termodinámica
"La corriente eléctrica convencional se define como el flujo de:", "Cargas positivas.", "Electrones.", "Neutrones.", "Protones.", A, Física, Electromagnetismo
"La longitud de onda de una onda es inversamente proporcional a su:", "Frecuencia.", "Período.", "Amplitud.", "Velocidad de propagación.", A, Física, Ondas
"En un circuito en serie, la corriente eléctrica que pasa por cada resistencia es:", "La misma.", "Proporcional al valor de cada resistencia.", "Inversamente proporcional al valor de cada resistencia.", "Diferente y depende del voltaje.", A, Física, Electromagnetismo
"Un objeto ubicado entre el foco y el vértice de un espejo cóncavo produce una imagen que es:", "Virtual, derecha y de mayor tamaño.", "Real, invertida y de menor tamaño.", "Real, invertida y de mayor tamaño.", "Virtual, derecha y de menor tamaño.", A, Física, Óptica
"Si la masa de un planeta se duplica y su radio se mantiene igual, la aceleración de la gravedad en su superficie:", "Se duplica.", "Se cuadruplica.", "Se reduce a la mitad.", "Permanece igual.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La fuerza centrípeta necesaria para mantener un objeto en movimiento circular es:", "Perpendicular a la velocidad tangencial.", "Paralela a la velocidad tangencial.", "Opuesta a la velocidad tangencial.", "Cero.", A, Física, Cinemática
"En un tubo en U con agua, si se agrega aceite por un lado, la columna de aceite será más alta que la de agua porque el aceite tiene:", "Menor densidad.", "Mayor densidad.", "Mayor viscosidad.", "Menor viscosidad.", A, Física, Fluidos
"El sonido es una onda:", "Mecánica y longitudinal.", "Electromagnética y transversal.", "Mecánica y transversal.", "Electromagnética y longitudinal.", A, Física, Ondas
"Un imán tiene dos polos. Si se parte por la mitad, se obtiene:", "Dos imanes, cada uno con dos polos.", "Un imán con un solo polo norte y otro con un solo polo sur.", "Dos piezas no magnéticas.", "Un imán con polos más débiles.", A, Física, Electromagnetismo
"La capacidad calorífica específica de una sustancia es:", "La cantidad de calor necesaria para elevar 1°C la temperatura de 1 kg de la sustancia.", "La temperatura a la que una sustancia se funde.", "La cantidad de calor que libera una sustancia al quemarse.", "La resistencia de una sustancia a cambiar de estado.", A, Física, Termodinámica
"En la ecuación de la relatividad E=mc², la 'c' representa:", "La velocidad de la luz en el vacío.", "La capacidad calorífica.", "Una constante cualquiera.", "La carga del electrón.", A, Física, Física contemporánea
"Un objeto flota parcialmente sumergido en un fluido. El peso del fluido desalojado es:", "Igual al peso del objeto.", "Mayor que el peso del objeto.", "Menor que el peso del objeto.", "Igual al volumen del objeto.", A, Física, Fluidos
"Un transformador eléctrico funciona basado en el principio de:", "Inducción electromagnética.", "Calentamiento por resistencia.", "Generación fotoeléctrica.", "Conducción de cargas.", A, Física, Electromagnetismo
"El punto de ebullición del agua a nivel del mar es 100°C. En la cima de una montaña, este punto será:", "Menor que 100°C.", "Mayor que 100°C.", "Igual a 100°C.", "Depende del material del recipiente.", A, Física, Termodinámica
"El período de un péndulo simple es directamente proporcional a:", "La raíz cuadrada de su longitud.", "El cuadrado de su longitud.", "Su longitud.", "La raíz cuadrada de la aceleración gravitacional.", A, Física, Ondas
"Una máquina térmica tiene una eficiencia del 25%. Esto significa que por cada 100 J de calor absorbido, realiza:", "25 J de trabajo útil.", "75 J de trabajo útil.", "100 J de trabajo útil.", "125 J de trabajo útil.", A, Física, Termodinámica
"Cuando una onda pasa de un medio a otro donde viaja más rápido, su frecuencia:", "Permanece igual.", "Aumenta.", "Disminuye.", "Se vuelve cero.", A, Física, Ondas
"Un resistor de 10 Ω y otro de 20 Ω se conectan en paralelo a una batería. La resistencia equivalente es:", "Menor que 10 Ω.", "Igual a 10 Ω.", "Entre 10 Ω y 20 Ω.", "Mayor que 20 Ω.", A, Física, Electromagnetismo
"La ley de Hooke para un resorte establece que la fuerza es proporcional a:", "El alargamiento o compresión.", "El cuadrado del alargamiento.", "La masa del resorte.", "La constante dieléctrica.", A, Física, Trabajo y leyes de la conservación
"Una lente convergente puede producir una imagen real, invertida y de mayor tamaño si el objeto se coloca:", "Entre el foco y el doble de la distancia focal.", "Más allá del doble de la distancia focal.", "En el foco.", "Entre el foco y la lente.", A, Física, Óptica
"La fuerza de fricción cinética entre dos superficies generalmente es:", "Independiente del área de contacto.", "Proporcional al área de contacto.", "Proporcional a la velocidad.", "Cero si hay movimiento.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La unidad de medida de la intensidad de corriente eléctrica en el Sistema Internacional es:", "El ampere (A).", "El volt (V).", "El ohm (Ω).", "El coulomb (C).", A, Física, Electromagnetismo
"¿Cuál de los siguientes fenómenos es una consecuencia de la difracción de la luz?", "La formación de bordes difusos en una sombra.", "La separación de la luz blanca en colores por un prisma.", "El aumento del tamaño aparente por una lupa.", "La formación de imágenes en un espejo.", A, Física, Óptica
"Según el principio de incertidumbre de Heisenberg:", "Es imposible conocer simultáneamente con precisión la posición y el momento de una partícula.", "La energía no se puede crear ni destruir.", "La luz se comporta como onda y partícula.", "Toda medición altera el sistema observado.", A, Física, Física contemporánea
"Un objeto con una masa de 2 kg tiene un peso de aproximadamente 19.6 N en la Tierra. En la Luna, donde la gravedad es 1/6 de la terrestre, su masa y peso serían respectivamente:", "2 kg y 3.27 N.", "2 kg y 19.6 N.", "0.33 kg y 3.27 N.", "0.33 kg y 19.6 N.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"En un fluido en movimiento, si la velocidad del fluido aumenta, la presión interna:", "Disminuye.", "Aumenta.", "Permanece constante.", "Se vuelve negativa.", A, Física, Fluidos
"La ley de inducción de Faraday establece que la fuerza electromotriz inducida en un circuito es proporcional a:", "La tasa de cambio del flujo magnético.", "La intensidad del campo magnético.", "La resistencia del circuito.", "El área del circuito.", A, Física, Electromagnetismo
"Un proceso adiabático es aquel en el que no hay intercambio de:", "Calor con el entorno.", "Trabajo con el entorno.", "Masa con el entorno.", "Energía con el entorno.", A, Física, Termodinámica
"La energía interna de un gas ideal depende principalmente de su:", "Temperatura.", "Presión.", "Volumen.", "Densidad.", A, Física, Termodinámica
"Un cuerpo se mueve con una energía cinética de 100 J. Si su velocidad se duplica, su nueva energía cinética será:", "400 J.", "200 J.", "141 J.", "50 J.", A, Física, Trabajo y leyes de la conservación
"El momento de inercia de un cuerpo rígido depende de:", "La distribución de su masa respecto al eje de rotación.", "Su velocidad angular.", "La fuerza aplicada.", "Su energía cinética.", A, Física, Trabajo y leyes de la conservación
"Un capacitor almacena energía en forma de:", "Campo eléctrico.", "Campo magnético.", "Corriente eléctrica.", "Resistencia.", A, Física, Electromagnetismo
"En una reacción nuclear de fusión:", "Núcleos ligeros se combinan para formar uno más pesado.", "Un núcleo pesado se divide en núcleos más ligeros.", "Se emiten partículas alfa.", "Se liberan electrones.", A, Física, Física contemporánea
"La magnitud del campo gravitacional generado por una masa puntual es inversamente proporcional al:", "Cuadrado de la distancia.", "Cubo de la distancia.", "Distancia.", "Volumen.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"Una onda estacionaria en una cuerda fija en ambos extremos tiene nodos. La distancia entre dos nodos consecutivos es igual a:", "Media longitud de onda.", "Una longitud de onda.", "Dos longitudes de onda.", "Un cuarto de longitud de onda.", A, Física, Ondas
"El efecto Doppler se observa cuando hay movimiento relativo entre:", "La fuente de una onda y un observador.", "Dos fuentes de ondas.", "Dos observadores.", "La onda y el medio.", A, Física, Ondas
"En un proceso isotérmico de un gas ideal, la temperatura:", "Permanece constante.", "Aumenta.", "Disminuye.", "Es cero.", A, Física, Termodinámica
"Un cuerpo de 5 kg cae libremente desde una altura. Despreciando la fricción del aire, su energía mecánica total durante la caída:", "Permanece constante.", "Aumenta.", "Disminuye.", "Es cero.", A, Física, Trabajo y leyes de la conservación
"El campo eléctrico es una cantidad vectorial que representa:", "La fuerza por unidad de carga.", "La energía por unidad de carga.", "La corriente por unidad de área.", "La carga por unidad de volumen.", A, Física, Electromagnetismo
"La presión hidrostática en un punto dentro de un líquido depende de:", "La profundidad y la densidad del líquido.", "El volumen del recipiente.", "La forma del recipiente.", "La superficie del líquido.", A, Física, Fluidos
"Una lente divergente siempre produce una imagen que es:", "Virtual, derecha y de menor tamaño.", "Real, invertida y de mayor tamaño.", "Real, invertida y de menor tamaño.", "Virtual, invertida y de menor tamaño.", A, Física, Óptica
"La actividad de una muestra radiactiva disminuye a la mitad después de un tiempo igual a:", "Su vida media.", "Su periodo de desintegración.", "El doble de su vida media.", "El triple de su vida media.", A, Física, Física contemporánea
"Un sistema de referencia inercial es aquel en el que se cumple:", "La primera ley de Newton.", "La ley de la gravitación universal.", "El principio de Arquímedes.", "La ley de Ohm.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La potencia disipada por un resistor eléctrico es directamente proporcional al:", "Cuadrado de la corriente que lo atraviesa.", "Voltaje aplicado.", "Inverso de la resistencia.", "Tiempo de uso.", A, Física, Electromagnetismo
"La difracción es un fenómeno característico de las ondas que se manifiesta cuando:", "Encuentran un obstáculo o abertura comparable a su longitud de onda.", "Cambian de medio de propagación.", "Se superponen con otras ondas.", "Su frecuencia es muy alta.", A, Física, Ondas
"El principio de funcionamiento de un reactor nuclear de fisión se basa en:", "Una reacción en cadena controlada.", "La fusión de núcleos de hidrógeno.", "La desintegración alfa espontánea.", "El efecto fotoeléctrico.", A, Física, Física contemporánea
"La ley de Coulomb describe la fuerza entre:", "Dos cargas eléctricas puntuales.", "Dos masas gravitacionales.", "Polos magnéticos.", "Corrientes eléctricas.", A, Física, Electromagnetismo
"La eficiencia de una máquina térmica nunca puede ser del 100% debido a:", "La segunda ley de la termodinámica.", "La conservación de la energía.", "La fricción en las partes móviles.", "La degradación de los materiales.", A, Física, Termodinámica
"En una colisión perfectamente inelástica entre dos cuerpos:", "Los cuerpos quedan unidos después del impacto.", "Se conserva la energía cinética total.", "Los cuerpos rebotan sin pérdida de energía.", "El momento lineal no se conserva.", A, Física, Trabajo y leyes de la conservación
"La constante de Planck relaciona la energía de un fotón con su:", "Frecuencia.", "Longitud de onda.", "Velocidad.", "Amplitud.", A, Física, Física contemporánea
"Una partícula con carga eléctrica en movimiento dentro de un campo magnético uniforme experimenta una fuerza:", "Perpendicular a su velocidad y al campo.", "En la dirección del campo.", "En la dirección opuesta al campo.", "En la dirección de su velocidad.", A, Física, Electromagnetismo
"En el modelo atómico de Bohr, los electrones giran en órbitas estacionarias alrededor del núcleo. La energía del electrón en estas órbitas es:", "Cuantizada.", "Continua.", "Constante.", "Aleatoria.", A, Física, Física contemporánea
"La ecuación de continuidad para un fluido incompresible establece que el producto del área de la sección transversal por la velocidad del fluido es:", "Constante a lo largo de un tubo de corriente.", "Proporcional a la presión.", "Inversamente proporcional a la densidad.", "Igual al caudal volumétrico.", A, Física, Fluidos
"La ley de Snell describe la relación entre los ángulos de incidencia y refracción cuando la luz pasa de un medio a otro, y depende de:", "Los índices de refracción de los medios.", "La frecuencia de la luz.", "La amplitud de la onda.", "La polarización de la luz.", A, Física, Óptica
"El principio de superposición para ondas establece que el desplazamiento resultante en un punto es:", "La suma algebraica de los desplazamientos individuales.", "El producto de los desplazamientos individuales.", "El promedio de los desplazamientos individuales.", "El mayor de los desplazamientos individuales.", A, Física, Ondas
"Una máquina simple como la palanca puede multiplicar la fuerza aplicada, pero el trabajo realizado (sin considerar pérdidas por fricción):", "Se conserva.", "Se multiplica.", "Se reduce.", "Es cero.", A, Física, Trabajo y leyes de la conservación
"La ley de Charles para un gas ideal a presión constante establece que el volumen es:", "Directamente proporcional a la temperatura absoluta.", "Inversamente proporcional a la temperatura absoluta.", "Directamente proporcional a la presión.", "Independiente de la temperatura.", A, Física, Termodinámica
"La unidad de flujo magnético en el Sistema Internacional es:", "El weber (Wb).", "El tesla (T).", "El henry (H).", "El farad (F).", A, Física, Electromagnetismo
"La constante dieléctrica de un material es una medida de:", "Cuánto reduce la intensidad del campo eléctrico en su interior.", "Su resistencia al paso de la corriente.", "Su capacidad para almacenar carga.", "Su punto de fusión.", A, Física, Electromagnetismo
"El fenómeno de la polarización de la luz es evidencia de que la luz es una onda:", "Transversal.", "Longitudinal.", "De presión.", "Electromagnética en general.", A, Física, Óptica
"En un movimiento armónico simple, la aceleración es proporcional y opuesta a:", "El desplazamiento desde la posición de equilibrio.", "La velocidad.", "El tiempo.", "La amplitud.", A, Física, Ondas
"Un material superconductor se caracteriza por tener resistencia eléctrica:", "Cero por debajo de una temperatura crítica.", "Muy alta por debajo de una temperatura crítica.", "Negativa.", "Que varía con el campo magnético.", A, Física, Física contemporánea
"La tercera ley de Kepler relaciona el cuadrado del periodo orbital de un planeta con:", "El cubo del semieje mayor de su órbita.", "El cuadrado del radio de su órbita.", "La masa del planeta.", "La masa del Sol.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"Un cuerpo sumergido en un fluido experimenta un empuje vertical hacia arriba igual al:", "Peso del volumen de fluido desalojado.", "Peso del cuerpo.", "Volumen del fluido desalojado.", "Densidad del fluido multiplicada por la gravedad.", A, Física, Fluidos
"La ley de Lenz establece que la corriente inducida en un circuito tiene un sentido tal que su campo magnético:", "Se opone al cambio en el flujo magnético que la produce.", "Refuerza el campo magnético externo.", "Es perpendicular al campo magnético externo.", "Sigue la dirección del campo externo.", A, Física, Electromagnetismo
"La velocidad de escape desde la superficie de un planeta es la velocidad mínima para que un objeto:", "Pueda escapar de la atracción gravitacional del planeta.", "Entre en órbita alrededor del planeta.", "Llegue al punto más alto de la atmósfera.", "Alcance velocidad constante.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La ley de Stefan-Boltzmann establece que la potencia radiada por un cuerpo negro es proporcional a:", "La cuarta potencia de su temperatura absoluta.", "El cuadrado de su temperatura absoluta.", "Su temperatura absoluta.", "La inversa de su temperatura.", A, Física, Termodinámica
"La 'paradoja de los gemelos' está relacionada con las predicciones de:", "La teoría de la relatividad especial.", "La mecánica cuántica.", "La termodinámica clásica.", "La mecánica newtoniana.", A, Física, Física contemporánea
"Un campo magnético variable en el tiempo puede generar un:", "Campo eléctrico inducido.", "Campo gravitacional.", "Campo de presiones.", "Flujo constante de carga.", A, Física, Electromagnetismo
"La frecuencia de resonancia de un sistema oscilatorio es la frecuencia a la cual la amplitud de la oscilación es:", "Máxima.", "Mínima.", "Constante.", "Cero.", A, Física, Ondas
"En un gas ideal, la presión ejercida se debe principalmente a:", "Los choques de las moléculas con las paredes del recipiente.", "Las fuerzas de atracción entre moléculas.", "El volumen de las moléculas.", "La gravedad.", A, Física, Termodinámica
"El principio de Huygens explica cómo cada punto de un frente de onda se comporta como:", "Fuente de nuevas ondas secundarias.", "Un sumidero de energía.", "Un reflector perfecto.", "Un absorbedor de luz.", A, Física, Óptica
"El número atómico de un elemento corresponde al número de:", "Protones en el núcleo.", "Neutrones en el núcleo.", "Electrones en la capa externa.", "Nucleones en total.", A, Física, Física contemporánea
"En un circuito de corriente alterna, un inductor ideal se opone a los cambios en la corriente. Esta oposición se llama:", "Reactancia inductiva.", "Resistencia óhmica.", "Impedancia capacitiva.", "Conductancia.", A, Física, Electromagnetismo
"La formación de un arcoíris se debe principalmente a los fenómenos de:", "Refracción y dispersión de la luz en gotas de agua.", "Reflexión total interna.", "Interferencia de ondas luminosas.", "Difracción de la luz.", A, Física, Óptica
"La unidad de dosis equivalente de radiación ionizante en el SI es el:", "Sievert (Sv).", "Gray (Gy).", "Becquerel (Bq).", "Curie (Ci).", A, Física, Física contemporánea
"La ley de conservación de la cantidad de movimiento lineal se aplica a un sistema si:", "La fuerza externa neta sobre el sistema es cero.", "Las fuerzas internas son conservativas.", "La energía cinética total se conserva.", "No hay colisiones entre sus partes.", A, Física, Trabajo y leyes de la conservación
"Un diodo semiconductor permite el paso de corriente eléctrica principalmente en:", "Un solo sentido.", "Ambos sentidos por igual.", "Sentido inverso al de polarización.", "Condiciones de alta temperatura.", A, Física, Electromagnetismo
"La fórmula de la dilatación lineal de un sólido es ΔL = α L₀ ΔT. El coeficiente α representa:", "El coeficiente de dilatación lineal.", "La conductividad térmica.", "La capacidad calorífica.", "La resistencia eléctrica.", A, Física, Termodinámica
"La ecuación de Bernoulli para un fluido ideal relaciona la presión, la velocidad y la altura, y se basa en el principio de:", "Conservación de la energía.", "Conservación de la masa.", "Conservación de la cantidad de movimiento.", "Equilibrio hidrostático.", A, Física, Fluidos
"En el efecto fotoeléctrico, la energía cinética máxima de los electrones emitidos depende de:", "La frecuencia de la luz incidente.", "La intensidad de la luz incidente.", "El tiempo de exposición a la luz.", "El área de la superficie iluminada.", A, Física, Física contemporánea
"Un espectro de emisión atómico, con líneas brillantes sobre un fondo oscuro, es característico de:", "Gases a baja presión excitados.", "Cuerpos sólidos incandescentes.", "Líquidos fluorescentes.", "Plasmas a alta temperatura.", A, Física, Física contemporánea
"En una expansión libre de un gas ideal en el vacío, la temperatura del gas:", "Permanece constante.", "Aumenta.", "Disminuye.", "Primero aumenta y luego disminuye.", A, Física, Termodinámica
"La resistencia equivalente de dos resistores idénticos conectados en paralelo es:", "La mitad de la resistencia de uno de ellos.", "Igual a la resistencia de uno de ellos.", "El doble de la resistencia de uno de ellos.", "Un cuarto de la resistencia de uno de ellos.", A, Física, Electromagnetismo
"La carga eléctrica total de un sistema aislado:", "Se conserva.", "Aumenta con el tiempo.", "Disminuye con el tiempo.", "Es proporcional a la masa.", A, Física, Electromagnetismo
"El poder de resolución de un instrumento óptico está limitado fundamentalmente por:", "La difracción de la luz.", "La reflexión en las lentes.", "La absorción de la luz.", "La polarización.", A, Física, Óptica
"La entropía de un sistema aislado tiende a:", "Aumentar hasta alcanzar un máximo en el equilibrio.", "Disminuir hasta alcanzar un mínimo.", "Mantenerse constante.", "Oscilar alrededor de un valor medio.", A, Física, Termodinámica
"La longitud de onda umbral en el efecto fotoeléctrico es la longitud de onda máxima para la cual:", "Aún ocurre la emisión de electrones.", "La emisión de electrones se satura.", "Los electrones tienen energía cinética máxima.", "La intensidad de la luz es suficiente.", A, Física, Física contemporánea
"En un choque perfectamente elástico entre dos partículas, se conserva:", "Tanto la energía cinética total como la cantidad de movimiento total.", "Solo la cantidad de movimiento total.", "Solo la energía cinética total.", "La energía potencial.", A, Física, Trabajo y leyes de la conservación
"La constante de gravitación universal G fue determinada experimentalmente por:", "Henry Cavendish.", "Isaac Newton.", "Galileo Galilei.", "Albert Einstein.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La formación de imágenes en una cámara fotográfica simple se basa en el principio de la:", "Cámara oscura.", "Reflexión total.", "Interferencia constructiva.", "Dispersión cromática.", A, Física, Óptica
"La ley de enfriamiento de Newton establece que la tasa de pérdida de calor de un cuerpo es proporcional a:", "La diferencia de temperatura entre el cuerpo y su entorno.", "La temperatura absoluta del cuerpo.", "El área superficial del cuerpo.", "La capacidad calorífica del cuerpo.", A, Física, Termodinámica
"El principio de exclusión de Pauli es fundamental para explicar:", "La estructura de capas electrónicas en los átomos.", "La desintegración beta.", "La emisión estimulada en láseres.", "La superconductividad.", A, Física, Física contemporánea
"La fuerza de Lorentz sobre una carga en movimiento incluye contribuciones tanto del campo eléctrico como del campo magnético, y es perpendicular a la velocidad de la carga solo si:", "La carga se mueve perpendicularmente a un campo magnético.", "Existe un campo eléctrico no nulo.", "La carga está en reposo.", "Los campos son paralelos.", A, Física, Electromagnetismo
"En una onda sonora, las regiones de alta presión se llaman:", "Compresiones.", "Rarefacciones.", "Nodos.", "Antinodos.", A, Física, Ondas
"La ley de desintegración radiactiva es un proceso exponencial que depende del:", "Número de núcleos presentes en un instante dado.", "Tiempo total transcurrido desde la formación de la muestra.", "Volumen de la muestra.", "Estado químico del elemento.", A, Física, Física contemporánea
"Un rayo de luz que incide sobre la superficie de separación entre dos medios con un ángulo igual al ángulo crítico produce:", "Reflexión total interna.", "Refracción a 90 grados.", "Absorción completa.", "Dispersión.", A, Física, Óptica
"La fuerza de fricción estática máxima entre dos superficies es proporcional a:", "La fuerza normal que las presiona una contra la otra.", "El área de contacto entre las superficies.", "La velocidad relativa entre las superficies.", "La rugosidad de las superficies.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La capacidad de un conductor para almacenar carga por unidad de voltaje se llama:", "Capacitancia.", "Inductancia.", "Resistencia.", "Conductancia.", A, Física, Electromagnetismo
"La ecuación de estado de un gas ideal es PV = nRT. La constante R es:", "La constante universal de los gases.", "La constante de Boltzmann.", "La capacidad calorífica.", "La densidad del gas.", A, Física, Termodinámica
"El principio de incertidumbre de Heisenberg implica que a nivel cuántico:", "Existen límites fundamentales a la precisión de mediciones simultáneas.", "Todas las partículas son ondas.", "La energía no está cuantizada.", "El vacío no existe.", A, Física, Física contemporánea
"En un movimiento circular uniforme, la magnitud de la velocidad tangencial:", "Permanece constante.", "Aumenta linealmente con el tiempo.", "Disminuye linealmente con el tiempo.", "Es cero.", A, Física, Cinemática
"La energía de ionización de un átomo es la energía necesaria para:", "Arrancar un electrón del átomo en su estado fundamental.", "Excitar un electrón a un nivel superior.", "Añadir un protón al núcleo.", "Dividir el núcleo.", A, Física, Física contemporánea
"Un fluido no newtoniano es aquel cuya viscosidad:", "Puede cambiar con la tasa de deformación aplicada.", "Siempre es constante.", "Es cero.", "Es extremadamente alta.", A, Física, Fluidos
"La ley de reflexión establece que el ángulo de incidencia es igual al ángulo de reflexión, y ambos rayos y la normal están en:", "El mismo plano.", "Planos perpendiculares entre sí.", "Planos paralelos.", "Cualquier orientación.", A, Física, Óptica
"El fenómeno de la interferencia constructiva de ondas ocurre cuando la diferencia de camino entre las ondas es un número:", "Entero de longitudes de onda.", "Semi-entero de longitudes de onda.", "Impar de medias longitudes de onda.", "Aleatorio.", A, Física, Ondas
"La energía de enlace nuclear es la energía necesaria para:", "Separar completamente los nucleones de un núcleo.", "Extraer un protón del núcleo.", "Excitar los nucleones.", "Inducir la fisión.", A, Física, Física contemporánea
"La ley de Joule establece que el calor producido en un conductor por el paso de una corriente eléctrica es proporcional a:", "El cuadrado de la corriente, la resistencia y el tiempo.", "La corriente, el voltaje y el tiempo.", "La resistencia y el voltaje.", "La conductividad del material.", A, Física, Electromagnetismo
"En un proceso isobárico de un gas ideal, la presión:", "Permanece constante.", "Varía proporcionalmente al volumen.", "Varía inversamente con la temperatura.", "Es cero.", A, Física, Termodinámica
"El modelo estándar de la física de partículas clasifica las partículas elementales en:", "Quarks, leptones y bosones gauge.", "Protones, neutrones y electrones.", "Fermiones y bosones exclusivamente por su spin.", "Partículas y antipartículas.", A, Física, Física contemporánea
"La fuerza de tensión superficial en un líquido se debe a:", "La atracción cohesiva entre las moléculas del líquido.", "La presión atmosférica.", "La evaporación en la superficie.", "La presencia de impurezas.", A, Física, Fluidos
"Un cuerpo negro ideal es aquel que:", "Absorbe toda la radiación incidente.", "Refleja toda la radiación incidente.", "Transmite toda la radiación incidente.", "Emite luz de un solo color.", A, Física, Termodinámica
"La ley de Ampère relaciona la circulación del campo magnético alrededor de una curva cerrada con:", "La corriente eléctrica que atraviesa la superficie delimitada por esa curva.", "La carga eléctrica encerrada.", "El flujo eléctrico.", "La variación del flujo eléctrico.", A, Física, Electromagnetismo
"El efecto Compton demostró que los fotones:", "Pueden transferir momento a los electrones.", "Tienen masa en reposo.", "Viajan a velocidades variables.", "Son partículas cargadas.", A, Física, Física contemporánea
"La velocidad terminal de un objeto que cae a través de un fluido se alcanza cuando:", "La fuerza de resistencia del fluido equilibra al peso del objeto.", "La aceleración se hace cero.", "La velocidad se hace constante.", "Todas las anteriores son correctas.", D, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
